Date/Time,Battery Remaining,Battery Current,Battery Voltage,Battery Temp,Battery Status,Battery Manufacturing Date,Battery Serial Number,Battery Part Number,Battery Rated Capacity (mAh),Battery Decommission Status,Battery Base Cumulative Charge (mAh),Battery Error Status,Ti Temp,Ti SOC,Ti Volt,Ti Current,Qti Temp,Qti SOC,Qti Volt,Qti Current,Charger Type,Screen State,Screen Brightness,Boot Count,Boot Reason,Avg CPU %,Current CPU %,Core[0],Core[1],Core[2],Core[3],Core[4],Core[5],Core[6],Core[7],CPU Freq: 499200,CPU Freq: 672000,CPU Freq: 806400,CPU Freq: 921600,CPU Freq: 1094400,CPU Freq: 1286400,CPU Freq: 1478400,CPU Freq: 1632000,CPU Freq: 1804800,CPU Freq: 1958400,Current CPU Frequency,CPU temperature,Free Physical Mem (b),Free Storage Mem (b),Process Count,Foreground Package,Foreground Activity,IP Address,Gateway,Total TX,Total Rx,Total Mobile Tx,Total Mobile Rx,Wan Enabled,Wan State,Wan Type,Wan Operator,Wan Signal Strength,WiFi Enabled,WiFi State,BSSID,SSID,Link Speed[Mbps],RSSI,WiFi Singal Strength,DHCP,Netmask,BT Enabled,BT Discoverable,BT Connected,Ambient Light (LUX),Event Type,Event Details
2023-07-18 07:33:39:135,53,1094375,3906,240,CHARGING,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,reboot:factory_reset,6,40,52,59,48,53,20,23,39,23, 0, 159164, 984, 624, 3278, 1506, 1291, 572, 517, 14085,195840,2,3589254,108894916608,3940,com.android.settings,,,,0,0,0,0,0,Disconnected,UNKNOWN,UNKNOWN,UNKNOWN,1,Enable,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0.0.0.0,,0,0,0,-1,New file detail dump,DEVICE: Zebra/MC9400PG/MC9400 SERIAL NUMBER: 231595225E0019 ANDROID VERSION: 13 BUILD ID: 13-06-18.00-TG-U00-PRD-NEM-04 Incremental: 86 BOOTLOADER: unknown VERSION.CODENAME: REL Type: user Tag: UNKNOWN 
2023-07-18 07:33:42:589,53,1095901,3906,230,CHARGING,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,reboot:factory_reset,7,22,44,48,40,40,0,0,4,0, 0, 159284, 990, 632, 3300, 1545, 1304, 574, 528, 14210,195840,2,3458657,108894175232,3936,com.android.settings,,,,0,0,0,0,0,Disconnected,UNKNOWN,UNKNOWN,UNKNOWN,1,Enable,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0.0.0.0,,0,0,0,103,Resource Module start,
2023-07-18 07:34:45:708,54,1347980,3956,240,CHARGING,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,reboot:factory_reset,7,33,51,53,55,46,10,11,19,15, 0, 161547, 1152, 782, 3797, 2460, 1705, 890, 783, 15566,67200,2,3404301,108882894848,4061,com.android.settings,,,,0,0,0,0,0,Disconnected,UNKNOWN,UNKNOWN,UNKNOWN,1,Enable,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0.0.0.0,,1,1,0,103,Heartbeat,
2023-07-18 07:35:48:969,54,1373004,3969,240,CHARGING,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,reboot:factory_reset,8,1,1,1,2,1,0,0,0,0, 0, 164697, 1410, 949, 4329, 3235, 2018, 1102, 999, 16267,67200,2,3357226,108876066816,4064,com.android.launcher3,Quickstep,192.168.44.1,,0,0,0,0,0,Disconnected,UNKNOWN,UNKNOWN,UNKNOWN,1,Enable,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0.0.0.0,255.255.255.0,1,0,1,95,Heartbeat,
2023-07-18 07:36:02:251,54,1289690,3958,240,CHARGING,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,reboot:factory_reset,8,37,54,53,66,51,15,18,18,19, 0, 165640, 1433, 960, 4372, 3297, 2052, 1123, 1028, 16427,195840,2,3464258,108875907072,4050,com.android.launcher3,Quickstep,192.168.44.1,,0,0,0,0,0,Disconnected,UNKNOWN,UNKNOWN,UNKNOWN,1,Enable,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0.0.0.0,255.255.255.0,1,0,1,72,Resource Stop,
